Structure Position, Actual Response
Line A: Structure Position, Actual Response - Global RX (SHIP) [°]
Line B: Structure Position, Actual Response - Global RY (SHIP) [°]
Line C: Structure Position, Actual Response - Global RZ (SHIP) [°]

*Time (s),Line A (°),Line B (°),Line C (°)
362.5,9.67173385620117,3.33702063560486,4.85939168930054
363,9.92207050323487,2.88667988777161,4.93146991729736
363.5,10.1060380935669,2.59912467002869,5.00007629394531
364,10.2113161087036,2.4969961643219,5.06374502182007
364.5,10.2315902709961,2.58450508117676,5.12188482284546
365,10.1670303344727,2.84759330749512,5.17492771148682
365.5,10.0241603851318,3.25612902641296,5.22401762008667
366,9.81501865386963,3.76761817932129,5.27056646347046
366.5,9.55580139160156,4.3317289352417,5.31580877304077
367,9.26522064208984,4.89508533477783,5.36051416397095
367.5,8.96286678314209,5.40591907501221,5.40506935119629
368,8.66796779632568,5.81840133666992,5.44983434677124
368.5,8.39853096008301,6.09655141830444,5.49536323547363
369,8.17078590393066,6.21756505966187,5.54241418838501
369.5,7.99873304367066,6.17415189743042,5.59178876876831
370,7.89361619949341,5.97548532485962,5.64394235610962
370.5,7.86321449279785,5.64642095565796,5.69865036010742
371,7.91103076934814,5.22488069534302,5.75490140914917
371.5,8.035569190979,4.75761365890503,5.81113338470459
372,8.22989749908447,4.29489326477051,5.86581754684448
372.5,8.48167324066162,3.88486099243164,5.91802644729614
373,8.77380084991455,3.56826210021973,5.96781730651855
373.5,9.08567142486572,3.37426161766052,6.01621532440186
374,9.39486694335938,3.3177375793457,6.06475257873535
374.5,9.67906188964844,3.39822554588318,6.11489629745483
375,9.91783428192139,3.60050344467163,6.16770172119141
375.5,10.0941915512085,3.89671730995178,6.22367525100708
376,10.195743560791,4.24977493286133,6.28277921676636
376.5,10.2154102325439,4.61761808395386,6.34441089630127
377,10.1517763137817,4.95777750015259,6.40741872787476
377.5,10.0090837478638,5.23181247711182,6.47012662887573
378,9.79693508148193,5.40928602218628,6.53045845031738
378.5,9.5297794342041,5.47101402282715,6.58643531799316
379,9.22613716125488,5.41131496429443,6.63665056228638
379.5,8.90744495391846,5.23880672454834,6.68073081970215
380,8.59656143188477,4.97548913955688,6.71945524215698
380.5,8.31599426269531,4.65401268005371,6.75467205047607
381,8.08603096008301,4.31347703933716,6.78882598876953
381.5,7.92306900024414,3.99451184272766,6.82453918457031
382,7.83833885192871,3.73444008827209,6.8642635345459
382.5,7.83719491958618,3.56329131126404,6.9101448059082
383,7.91901683807373,3.50103998184204,6.96392774581909
383.5,8.07752990722656,3.55611515045166,7.02669525146484
384,8.30149173736572,3.72497081756592,7.09852457046509
384.5,8.57554054260254,3.99249958992004,7.17833662033081
385,8.88120365142822,4.33328723907471,7.26377630233765
385.5,9.19795799255371,4.71372270584107,7.35129165649414
386,9.50444602966309,5.09502077102661,7.43651294708252
386.5,9.77988338470459,5.43705987930298,7.51516008377075
387,10.0056247711182,5.70263338088989,7.58384513854981
387.5,10.1666030883789,5.86154890060425,7.64057159423828
388,10.2524261474609,5.89402961730957,7.68500089645386
388.5,10.2579517364502,5.79299402236939,7.71840667724609
389,10.1833038330078,5.56496286392212,7.7432975769043
389.5,10.0334157943726,5.22936534881592,7.76313352584839
390,9.81749057769775,4.81653356552124,7.7822151184082
390.5,9.54855442047119,4.36483192443848,7.80557346343994
391,9.24299240112305,3.91719722747803,7.83809900283813
391.5,8.91983127593994,3.51709771156311,7.88347005844116
392,8.5998649597168,3.20412635803223,7.9433913230896
392.5,8.30449962615967,3.00970268249512,8.01727199554443
393,8.05420112609863,2.95347809791565,8.10200500488281
393.5,7.86682844161987,3.0410692691803,8.19239139556885
394,7.75603580474854,3.26360392570496,8.28236675262451
394.5,7.73006677627563,3.59908103942871,8.36650657653809
395,7.79111385345459,4.01512002944946,8.44118404388428
395.5,7.93521118164063,4.47251224517822,8.50503826141357
396,8.15259456634521,4.92918348312378,8.55882358551025
396.5,8.42841053009033,5.34422397613525,8.60487174987793
